theta1,theta2,p1,p2
-0.599950,-2.349111,-5.796096,-3.066396
-0.600273,-2.349475,-5.796126,-3.064544
-0.600595,-2.349838,-5.796156,-3.062694
-0.600917,-2.350202,-5.796184,-3.060844
-0.601239,-2.350565,-5.796211,-3.058996
-0.601561,-2.350928,-5.796237,-3.057148
-0.601883,-2.351291,-5.796262,-3.055301
-0.602205,-2.351653,-5.796286,-3.053455
-0.602527,-2.352016,-5.796309,-3.051609
-0.602849,-2.352378,-5.796331,-3.049765
-0.603171,-2.352740,-5.796352,-3.047921
-0.603493,-2.353102,-5.796371,-3.046078
-0.603815,-2.353464,-5.796390,-3.044236
-0.604137,-2.353826,-5.796407,-3.042395
-0.604459,-2.354187,-5.796423,-3.040554
-0.604781,-2.354548,-5.796439,-3.038715
-0.605103,-2.354909,-5.796453,-3.036876
-0.605425,-2.355270,-5.796466,-3.035038
-0.605747,-2.355631,-5.796477,-3.033201
-0.606069,-2.355992,-5.796488,-3.031365
-0.606391,-2.356352,-5.796498,-3.029529
-0.606713,-2.356712,-5.796506,-3.027695
-0.607034,-2.357072,-5.796514,-3.025861
-0.607356,-2.357432,-5.796520,-3.024028
-0.607678,-2.357792,-5.796525,-3.022196
-0.608000,-2.358152,-5.796530,-3.020365
-0.608322,-2.358511,-5.796533,-3.018534
-0.608644,-2.358870,-5.796535,-3.016705
-0.608966,-2.359229,-5.796535,-3.014876
-0.609288,-2.359588,-5.796535,-3.013048
-0.609609,-2.359947,-5.796534,-3.011221
-0.609931,-2.360305,-5.796531,-3.009395
-0.610253,-2.360664,-5.796528,-3.007569
-0.610575,-2.361022,-5.796523,-3.005745
-0.610897,-2.361380,-5.796517,-3.003921
-0.611219,-2.361738,-5.796511,-3.002098
-0.611540,-2.362095,-5.796503,-3.000276
-0.611862,-2.362453,-5.796494,-2.998455
-0.612184,-2.362810,-5.796483,-2.996635
-0.612506,-2.363167,-5.796472,-2.994815
-0.612827,-2.363524,-5.796460,-2.992997
-0.613149,-2.363881,-5.796446,-2.991179
-0.613471,-2.364237,-5.796432,-2.989362
-0.613793,-2.364594,-5.796416,-2.987545
-0.614114,-2.364950,-5.796399,-2.985730
-0.614436,-2.365306,-5.796381,-2.983916
-0.614758,-2.365662,-5.796362,-2.982102
-0.615079,-2.366018,-5.796342,-2.980289
-0.615401,-2.366374,-5.796321,-2.978477
-0.615723,-2.366729,-5.796299,-2.976666
-0.616044,-2.367084,-5.796276,-2.974856
-0.616366,-2.367439,-5.796251,-2.973046
-0.616688,-2.367794,-5.796225,-2.971238
-0.617009,-2.368149,-5.796199,-2.969430
-0.617331,-2.368503,-5.796171,-2.967623
-0.617653,-2.368858,-5.796142,-2.965817
-0.617974,-2.369212,-5.796112,-2.964011
-0.618296,-2.369566,-5.796081,-2.962207
-0.618617,-2.369920,-5.796049,-2.960403
-0.618939,-2.370273,-5.796016,-2.958601
-0.619260,-2.370627,-5.795981,-2.956799
-0.619582,-2.370980,-5.795946,-2.954998
-0.619903,-2.371334,-5.795909,-2.953197
-0.620225,-2.371686,-5.795871,-2.951398
-0.620546,-2.372039,-5.795833,-2.949599
-0.620868,-2.372392,-5.795793,-2.947802
-0.621189,-2.372744,-5.795752,-2.946005
-0.621511,-2.373097,-5.795710,-2.944209
-0.621832,-2.373449,-5.795666,-2.942414
-0.622154,-2.373801,-5.795622,-2.940619
-0.622475,-2.374153,-5.795577,-2.938826
-0.622797,-2.374504,-5.795530,-2.937033
-0.623118,-2.374856,-5.795483,-2.935241
-0.623439,-2.375207,-5.795434,-2.933450
-0.623761,-2.375558,-5.795384,-2.931660
-0.624082,-2.375909,-5.795333,-2.929871
-0.624403,-2.376260,-5.795281,-2.928082
-0.624725,-2.376610,-5.795228,-2.926295
-0.625046,-2.376961,-5.795174,-2.924508
-0.625367,-2.377311,-5.795118,-2.922722
-0.625689,-2.377661,-5.795062,-2.920937
